run_id,game,steering,scope,layer,episode,gbs_converged,gbs_converged_round,max_guess,max_reward,mean_contribution,mean_guess,mean_guess_error,mean_reward,min_guess,n_steps,parse_retries_total,player_0_reward
exp_activation_all,beauty_contest,activation,all,,7,,,66.0,1.0,,41.3,,0.25,25.0,20,0,0.0
exp_activation_all,beauty_contest,activation,all,,8,,,66.0,0.5,,46.35,,0.25,22.0,20,0,0.0
exp_activation_all,beauty_contest,activation,all,,9,,,50.0,1.0,,45.65,,0.25,40.0,20,0,0.0
exp_activation_all_l10,beauty_contest,activation,all,10,0,False,,33.0,0.25,,12.0,4.000000000000002,0.25,5.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,1,False,,20.0,0.25,,10.6,3.5333333333333337,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,10,False,,33.0,0.25,,11.85,3.9499999999999984,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,11,False,,33.0,0.5,,16.15,5.383333333333335,0.25,7.0,20,0,0.0
exp_activation_all_l10,beauty_contest,activation,all,10,12,False,,33.0,0.5,,15.15,5.05,0.25,6.0,20,0,0.5
exp_activation_all_l10,beauty_contest,activation,all,10,13,False,,25.0,1.0,,15.2,5.066666666666669,0.25,9.0,20,0,0.0
exp_activation_all_l10,beauty_contest,activation,all,10,14,False,,33.0,0.5,,15.8,5.266666666666667,0.25,7.0,20,0,0.5
exp_activation_all_l10,beauty_contest,activation,all,10,15,False,,33.0,0.5,,16.85,5.616666666666665,0.25,7.0,20,0,0.5
exp_activation_all_l10,beauty_contest,activation,all,10,16,False,,33.0,0.25,,11.85,3.9499999999999984,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,17,False,,33.0,0.3333333333333333,,14.85,4.949999999999998,0.25,8.0,20,0,0.3333333333333333
exp_activation_all_l10,beauty_contest,activation,all,10,18,False,,33.0,0.3333333333333333,,17.1,5.6999999999999975,0.25,6.0,20,0,0.3333333333333333
exp_activation_all_l10,beauty_contest,activation,all,10,19,False,,20.0,0.25,,10.6,3.5333333333333337,0.25,4.0,20,0,0.25
