run_id,game,mode,players,model,gbs_converged,gbs_converged_round,mean_response_len_words
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,10,598.0909090909091
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,10,602.9090909090909
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,3,526.625
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,464.75
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,6,610.9285714285714
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,6,592.7857142857143
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,729.75
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,3,485.25
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,12,658.0
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,572.75
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,9,638.4
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,564.75
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,6,594.9285714285714
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,3,648.5
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,459.75
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,2,570.6666666666666
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,520.25
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,346.5
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,356.0
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,4,564.3
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,8,584.6666666666666
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,2,530.8333333333334
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,2,532.5
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,355.75
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,6,609.7142857142857
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,2,562.0
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,467.75
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,534.0
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,7,577.625
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,5,554.6666666666666
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,3,526.5
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,6,480.64285714285717
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,2,392.6666666666667
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,388.5
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,2,417.3333333333333
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,5,582.6666666666666
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,576.0
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,3,638.0
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,3,560.75
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,10,627.4090909090909
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,8,622.0555555555555
gbs_non_thinking_2p_20b,gbs,non_thinking,2,gpt-oss-20b,True,1,452.5
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,14,590.4
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,2,540.8888888888889
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,6,580.9047619047619
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,6,645.5714285714286
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,2,550.8888888888889
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,2,500.77777777777777
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,9,621.0333333333333
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,6,656.9047619047619
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,9,626.3666666666667
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,453.1666666666667
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,14,623.5333333333333
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,5,586.8888888888889
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,5,550.2777777777778
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,5,576.2777777777778
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,13,614.1428571428571
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,10,569.2121212121212
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,12,600.4102564102565
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,308.8333333333333
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,2,529.4444444444445
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,8,605.7407407407408
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,5,636.3333333333334
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,5,625.4444444444445
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,8,625.0370370370371
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,7,594.2083333333334
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,376.8333333333333
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,7,575.3333333333334
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,9,627.6
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,4,590.4666666666667
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,3,530.4166666666666
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,14,619.5777777777778
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,5,633.7222222222222
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,8,648.5555555555555
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,9,606.4
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,9,607.7
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,3,577.5833333333334
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,8,617.1481481481482
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,11,606.3611111111111
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,447.1666666666667
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,369.8333333333333
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,4,558.6
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,5,623.5555555555555
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,10,625.2424242424242
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,392.3333333333333
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,5,619.6666666666666
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,495.3333333333333
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,2,453.0
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,4,606.8
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,5,597.0555555555555
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,6,594.8571428571429
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,6,646.952380952381
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,3,595.0
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,421.0
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,546.0
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,395.1666666666667
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,6,611.047619047619
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,12,620.7435897435897
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,1,401.1666666666667
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,5,605.9444444444445
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,3,535.6666666666666
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,10,583.8484848484849
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,2,611.6666666666666
gbs_non_thinking_3p_20b,gbs,non_thinking,3,gpt-oss-20b,True,4,618.4666666666667
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,4,594.25
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,6,589.5714285714286
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,7,606.0625
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,4,647.25
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,14,619.4333333333333
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,7,594.46875
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,6,607.25
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,11,598.0208333333334
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,8,629.3333333333334
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,4,579.65
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,13,612.2142857142857
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,14,626.1166666666667
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,5,589.8333333333334
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,18,604.3157894736842
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,6,631.6428571428571
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,9,622.125
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,7,614.03125
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,5,601.7083333333334
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,4,590.8
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,2,496.0833333333333
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,3,558.3125
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,8,615.5555555555555
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,7,612.75
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,8,637.6388888888889
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,2,585.3333333333334
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,2,567.1666666666666
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,2,529.4166666666666
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,4,637.15
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,3,525.375
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,9,604.6
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,8,638.1111111111111
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,4,615.1
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,4,518.4
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,6,599.75
gbs_non_thinking_4p_20b,gbs,non_thinking,4,gpt-oss-20b,True,0,346.25
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,4,177.5
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,15,281.96875
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,6,214.28571428571428
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,8,267.1111111111111
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,8,241.61111111111111
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,9,231.65
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,5,178.08333333333334
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,7,209.0625
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,19,303.0
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,8,226.38888888888889
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,18,262.8421052631579
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,4,178.7
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,12,251.15384615384616
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,14,295.0
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,16,278.88235294117646
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,3,140.75
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,6,206.71428571428572
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,9,269.0
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,2,117.33333333333333
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,15,288.84375
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,4,196.9
gbs_noop_2p,gbs,noop,2,Qwen3-4B,False,,178.4
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,10,266.8636363636364
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,6,239.71428571428572
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,5,288.9166666666667
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,5,193.66666666666666
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,10,314.95454545454544
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,12,285.8076923076923
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,2,114.66666666666667
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,6,248.0
gbs_noop_2p,gbs,noop,2,Qwen3-4B,False,,308.025
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,6,264.42857142857144
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,2,139.83333333333334
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,5,166.5
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,6,253.07142857142858
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,10,283.22727272727275
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,3,130.75
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,2,88.83333333333333
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,6,268.5
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,2,103.83333333333333
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,8,290.72222222222223
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,3,144.125
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,3,153.25
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,13,294.4642857142857
gbs_noop_2p,gbs,noop,2,Qwen3-4B,True,3,156.875
